"PaperTitle"	"Year"	"EstimatedCitation"	"Location"	"Longitude"	"Latitude"	"CitationCount"
"analysis of alpha 1 antitrypsin phenotypes prevalence in eastern kentucky high penetration of a rare disease"	2009	0	"San Diego, California"	-117.1625	32.715	0
"a health virtual community perspective for peripheral arterial disease"	2016	1	"Rome, Italy"	12.49564	41.90322	1
"automatic identification of mycobacterium tuberculosis in ziehl neelsen stained sputum smear microscopy images using a two stage classifier"	2015	1	"Berlin"	13.4023285	52.5014076	1
"morphometric analysis of hippocampus and lateral ventricle reveals regional difference between cognitively stable and declining persons"	2016	5	"Prague, Czech Republic"	14.4658461	50.0668	5
"plasma irradiation effects in the abdominal adhesion mouse model"	2016	0	"Banff, AB, Canada"	-115.572739	51.17578	0
"diffuse reflectance spectroscopy can differentiate high grade and low grade prostatic carcinoma"	2016	0	"Orlando, FL, USA"	-81.37739	28.53823	0
"semi automated image analysis of gel electrophoresis of cerebrospinal fluid for oligoclonal band detection"	2016	2	"Orlando, FL, USA"	-81.37739	28.53823	2
"bile acids cause direct inflammation and injury and worsen acid induced injury in the pulmonary epithelium"	2015	1	"Denver, Colorado"	-104.989174	39.73715	1
"in vivo characterization of genetic expression of virus transduced calcium indicators in retinal ganglion cells using a low cost funduscope"	2016	3	"Orlando, FL, USA"	-81.37739	28.53823	3
"high speed in vivo imaging of retinal hemodynamics in a rodent model of hypertension"	2016	3	"Orlando, FL, USA"	-81.37739	28.53823	3
"effects of exposure to emp on the morphology in the main organs of rats"	2007	0	"Qingdao, China"	120.35569	36.11049	0
"double blind randomized two way crossover pilot study to assess the effect of high dose n acetylcysteine on airway geometry inflammation and oxidative stress in copd patients using functional respiratory imaging"	2013	2	"Philadelphia, Pennsylvania"	-75.16245	39.95228	2
"deep learning based assessment of tumor associated stroma for diagnosing breast cancer in histopathology images"	2017	57	"Melbourne, Australia"	144.967148	-37.81753	43
"comparison of biomarkers in transgenic alzheimer rats using multi shell diffusion mri"	2016	11	"Istanbul, Turkey"	28.9638	41.013	11
"characterization of gastrointestinal cancer cells invasiveness by estimation of their motility"	2017	0	"Innsbruck, Austria"	11.3913	47.268	0
"retinal biomarker discovery for dementia in an elderly diabetic population"	2017	0	"Quebec City, Quebec, Canada"	-72.452095	53.212738	0
"automatic lymphocyte detection on gastric cancer ihc images using deep learning"	2017	27	"Thessaloniki, Greece"	22.93707	40.63955	27
"graph based transforms based on prediction inaccuracy modeling for pathology image coding"	2018	3	"Snowbird, Utah, USA"	-111.656387	40.58111	3
"electrochemical detection of neuropeptide for diagnosis of alzheimer s disease"	2018	0	"Honolulu, Hawaii"	-157.857758	21.30485	0
"hrct patterns of usual interstitial pneumonia in rheumatoid lung"	2014	0	"San Diego, California"	-117.1625	32.715	0
"a method for precision surgical implantation and probe insertion in sprague dawley rat brain"	2020	0	"Seoul, South Korea"	126.993004	37.56337	0
"exploring pathologist knowledge for automatic assessment of breast cancer metastases in whole slide image"	2021	0	"Chengdu, China"	104.0758	30.6719	0
"хламидийная инфекция при ревматических заболеваниях"	2008	0	"Monterey, CA, USA"	-121.896767	36.59759	0
"detection of substantia nigra echogenicities in 3d transcranial ultrasound for early diagnosis of parkinson disease"	2012	17	"Nice, France"	7.27768	43.70028	17
"detection of normality pathology on chest radiographs using lbp"	2010	10	"Valencia-Spain"	-0.37686	39.46899	10
"toward online modeling for lesion visualization and monitoring in cardiac ablation therapy"	2013	5	"Nagoya - Japan"	136.919037	35.15065	5
"parameter estimation for personalization of liver tumor radiofrequency ablation"	2014	10	"Boston"	-71.05674	42.35866	10
"radial structure in the preterm cortex persistence of the preterm phenotype at term equivalent age"	2012	2	"Nice, France"	7.27768	43.70028	2
"recent studies using an overuse animal model show that signal substances are highly involved in muscle derangement and muscle inflammation"	2013	0	"Vilamoura, Algarve, Portugal"	-8.11561	37.07835	0
"functional photoacoustic imaging of osteoarthritis in the finger joints"	2011	0	"Shanghai, China"	121.4747	31.25516	0
"occult interferon α induced pulmonary granulomatosis despite continuation of treatment"	2014	1	"Lyon, France"	4.82898	45.75939	1
"boosting based method for automatic detection of leukocytes in blood smear images"	2012	1	"Innsbruck, Austria"	11.3913	47.268	1
"photodynamic effects on basal cell carcinoma with topical photosensitizer"	2010	0	"Buenos Aires, Argentina"	-58.37349	-34.60851	0
"optical tomographic imaging of tumor response to anti angiogenic drugs in small animals"	2010	0	"New York, NY, USA"	-74.00712	40.71455	0
"extended boundary shift integral"	2014	1	"Beijing"	116.38765	39.90657	1
"three dimensional high resolution optical coherence tomography oct imaging of human kidney"	2009	3	"Minneapolis, Minnesota, USA"	-93.26494	44.97902	3
"interstitial fluid flow increases invasion of ductal carcinoma in situ like cells through pi3k dependent mechanisms"	2012	0	"Philadelphia, PA, USA"	-75.16245	39.95228	0
"detection of malaria parasites in thick blood films"	2011	30	"Boston, MA, USA"	-71.05674	42.35866	30
"lab on a disk immunoassay for ocular diagnostics"	2014	0	"Boston, MA, USA"	-71.05674	42.35866	0
"segmentation of vessels through supervised classification in wide field retina images of infants with retinopathy of prematurity"	2012	6	"Rome, Italy"	12.49564	41.90322	6
"automated differentiation of glioblastomas from intracranial metastases using 3t mr spectroscopic and perfusion data"	2013	26	"Heidelberg, Germany"	8.70807	49.41349	26
"longitudinal change of the grey matter of mild congnitive impairment patients over 3 years by using voxel based morphometry"	2012	3	"Chongqing, China"	106.519348	29.55095	3
"detection of dermatoglyphic predictors of sex organ development pathology in women"	2014	0	"Zurich, Switzerland"	8.53956	47.37707	0
"estimating brain microvascular blood flows from partial two photon microscopy data by computation with a circuit model"	2011	3	"Boston, MA, USA"	-71.05674	42.35866	3
"analyzing grey matter diffusivity of autism in the context of white matter connectivity"	2013	1	"San Francisco, CA, USA"	-122.429047	37.77986	1
"fibrotic remodeling and duct obstruction are major patho physiological mechanisms in bacterial epididymitis in mice"	2014	0	"Zurich, Switzerland"	8.53956	47.37707	0
"the effect of mechanical strain on proliferation of lung cancer a549 cells and squamous carcinoma of tongue tca8113 cells"	2011	1	"Shanghai, China"	121.4747	31.25516	1
"ultrasound enhanced delivery of macromolecular agents in brain tumor rat model"	2011	3	"Boston, MA, USA"	-71.05674	42.35866	3
"contrast dispersion imaging for cancer localization"	2014	2	"Chicago, IL, USA"	-87.63245	41.88425	2
"basilar atelectasis as the true predictor of acute abdomino pelvic pathology a two year retrospective study of patients under the age of 55 evaluated with multi detector ct scan"	2014	0	"Boca Rat�n, USA"			0
"automatic airway analysis for genome wide association studies in copd"	2012	7	"Barcelona, Spain"	2.16835	41.3875	7
"viability of harvesting stem cells from adipose tissue using an ultrasonically assisted method"	2012	1	"Philadelphia, PA, USA"	-75.16245	39.95228	1
"uruguay ehealth initiative preliminary studies regarding an integrated approach to evaluate vascular age and preclinical atherosclerosis cuiidarte project"	2011	3	"Boston, MA, USA"	-71.05674	42.35866	3
"multiresolution identification of germ layer components in teratomas derived from human and nonhuman primate embryonic stem cells"	2008	17	"Paris, France"	2.339754	48.8631859	17
"ki 67 hot spots detection on glioblastoma tissue sections"	2010	4	"Rotterdam, The Netherlands"	4.488615	51.98959	4
"quantification of functional aalterations after in vitro traumatic brain injury"	2009	6	"Minneapolis, Minnesota, USA"	-93.26494	44.97902	6
"assessment of vessel size by mri in an orthotopic model of human pancreatic cancer"	2008	11	"Vancouver, BC, Canada"	-123.113358	49.26038	11
"advancing the technology and applications of surgical fluorescence imaging with targeted fluorochromes"	2010	0	"Rotterdam, The Netherlands"	4.488615	51.98959	0
"resolution of venous thrombus is depending on b lymphocytes"	2012	3	"San Francisco, California"	-122.429047	37.77986	3
"on the design of a cads for shoulder pain pathology"	2010	0	"San Sebastián, Spain"	-1.9784	43.31733	0
"automatic screening of age related macular degeneration and retinal abnormalities"	2011	34	"Boston, MA, USA"	-71.05674	42.35866	34
"optical reflectance spectroscopy for detection of human prostate cancer"	2009	12	"Minneapolis, Minnesota, USA"	-93.26494	44.97902	12
"mapping hippocampal degeneration in 400 subjects with a novel automated segmentation approach"	2008	13	"Paris, France"	2.339754	48.8631859	13
"high resolution contrast ultrasound and nadh fluorescence imaging of myocardial perfusion in excised rat hearts"	2008	3	"Vancouver, BC, Canada"	-123.113358	49.26038	3
"triple single quantum filtered sodium mri of acute brain ischemia"	2005	6	"Shanghai, China"	121.4747	31.25516	6
"serum sp a as predictor of disease progression in patients with pulmonary alveolar proteinosis"	2011	1	"Denver, Colorado"	-104.989174	39.73715	1
"fiber optic immuno biosensor for rapid and accurate detection of nerve growth factor in human blood"	2006	6	"New York, NY, USA"	-74.00712	40.71455	6
"a two equation coupled system model for determination of liver tissue temperature during radio frequency ablation"	2009	3	"Minneapolis, Minnesota, USA"	-93.26494	44.97902	3
"global and local detection of liver steatosis from ultrasound"	2012	13	"San Diego, CA, USA"	-117.1625	32.715	13
"automatic detection of subtle focal cortical dysplasia using surface based features on mri"	2008	9	"Paris, France"	2.339754	48.8631859	9
"identification of malignant pleural effusions mpes by tumour markers a national multi centre trial"	2013	0	"Philadelphia, Pennsylvania"	-75.16245	39.95228	0
"epileptogenic lesion quantification in mri using contralateral 3d texture comparisons"	2013	8	"Nagoya - Japan"	136.919037	35.15065	8
"современные представления о гетерогенности поражений почек у больных склеродермией"	2015	0	"Amsterdam"	5.00276947	52.3532181	0
"diagnostic color estimation of tissue components in pathology images via von mises mixture model"	2015	0	"Quebec, Canada"	-72.452095	53.212738	0
"the classification of melanocytic skin lesions using ultrasonic data"	2016	0	"Innsbruck, Austria"	11.3913	47.268	0
"myocardial late gadolinium enhancement is a novel finding in sickle cell disease a cardiac magnetic resonance and genomic study"	2011	0	"Denver, Colorado"	-104.989174	39.73715	0
"impact of stem cells originated from bone marrow of healthy pulmonary and extrapulmonary acute lung injury models on lung inflammation and remodeling"	2012	0	"San Francisco, California"	-122.429047	37.77986	0
"rapid molecular diagnosis of pulmonary tuberculosis in children using nasopharyngeal specimens"	2012	11	"San Francisco, California"	-122.429047	37.77986	11
"lung function and bronchial responsiveness in children the complementary use of non invasive markers of airway inflammation"	2012	0	"San Francisco, California"	-122.429047	37.77986	0
"conferred susceptibility to acute and ventilator induced lung injury by adoptive bone marrow transfer of myeloid cells lacking atf3 expression"	2011	0	"Denver, Colorado"	-104.989174	39.73715	0
"respiratory disease associated with solid biomass fuel exposure in rural women and children systematic review and meta analysis"	2009	2	"San Diego, California"	-117.1625	32.715	2
"post secretory mucin maturation in chronic lung diseases"	2011	0	"Denver, Colorado"	-104.989174	39.73715	0
"combined pulmonary emphysema and fibrosis in connective tissue disease"	2010	1	"New Orleans, Louisiana"	-90.07775	29.9537	1
"bleomycin induced fibrotic susceptibility of hermansky pudlak syndrome hps mice correlates with hps genotypes associated with pulmonary fibrosis in humans"	2009	1	"San Diego, California"	-117.1625	32.715	1
"risk of malignancy of pulmonary nodules with low 18f fdg uptake on pet scan images"	2009	0	"San Diego, California"	-117.1625	32.715	0
"agr2 facilitates endoplasmic reticulum processing of mucins in allergic airway disease and asthma"	2012	0	"San Francisco, California"	-122.429047	37.77986	0
"hiv nef induces pulmonary artery smooth muscle cell hyperplasia"	2011	0	"Denver, Colorado"	-104.989174	39.73715	0
"how to diagnose iron deficiency id after cardiac surgery interest of hepcidin dosage"	2012	0	"San Francisco, California"	-122.429047	37.77986	0
"oxidative stress in respiratory tract lining fluids from patients with systemic sclerosis"	2009	0	"San Diego, California"	-117.1625	32.715	0
"outcome of standard multidrug therapies for nodular bronchiectatic nb mycobacterium avium complex mac lung disease"	2010	1	"New Orleans, Louisiana"	-90.07775	29.9537	1
"increased expression of tissue factor tf in different forms of pulmonary fibrosis"	2009	0	"San Diego, California"	-117.1625	32.715	0
"an automated method for quantifying airspace enlargement in whole histological lung slices"	2012	0	"San Francisco, California"	-122.429047	37.77986	0
"pathological mesenchymal progenitor cells reside in the fibrotic reticulum of idiopathic pulmonary fibrosis"	2012	0	"San Francisco, California"	-122.429047	37.77986	0
"temporal and spatial expression of transforming growth factor in inflammatory cells airway epithelium and interstitium following progressive exposure to tobacco smoke in spontaneously hypertensive rats"	2010	0	"New Orleans, Louisiana"	-90.07775	29.9537	0
"a mouse lam model by endonasal administration of human tsc2 deficient smooth muscle cells"	2010	0	"New Orleans, Louisiana"	-90.07775	29.9537	0
"statin induced interstitial lung disease si ild"	2011	0	"Denver, Colorado"	-104.989174	39.73715	0
"the quantitative relationship between alveolar inflammation and emphysematous destruction in copd"	2010	0	"New Orleans, Louisiana"	-90.07775	29.9537	0
"one diagnosis or two a rare presentation of diffuse alveolar hemorrhage with pneumocystis pneumonia"	2012	0	"San Francisco, California"	-122.429047	37.77986	0
"lipid accumulation in peripheral blood dendritic cells of patients with lung cancer"	2012	0	"San Francisco, California"	-122.429047	37.77986	0
"metastatic pituitary carcinoma as a cause of cushing s syndrome associated pneumocystis pneumonia"	2012	0	"San Francisco, California"	-122.429047	37.77986	0
"low socioeconomic status is associated with greater disease severity in idiopathic pulmonary fibrosis"	2010	1	"New Orleans, Louisiana"	-90.07775	29.9537	1
"important role of tumor necrosis factor in murine lung injury from acid aspiration"	2010	0	"New Orleans, Louisiana"	-90.07775	29.9537	0
"inhibition of pyk2 blocks lung inflammation and injury in a mouse mmodel of acute lung injury"	2010	0	"New Orleans, Louisiana"	-90.07775	29.9537	0
"bronchoalveolar immune response determination bird study elispot response in cells obtained from broncho alveolair lavage in patients with hypersensitivity pneumonitis caused by pigeons"	2012	0	"San Francisco, California"	-122.429047	37.77986	0
"lung pathology following phosgene inhalation in mice"	2009	0	"San Diego, California"	-117.1625	32.715	0
"combined pulmonary hypertension ph and interstitial lung disease in connective tissue disorders the role of ph therapy"	2009	0	"San Diego, California"	-117.1625	32.715	0
"bronchoalveolar lavage pepsin activity and lipid laden macrophages in infants with laryngomalacia and gastroesophageal reflux"	2010	2	"New Orleans, Louisiana"	-90.07775	29.9537	2
"chronic granulomatous lung inflammation elicited by carbon nanotubes decreased ppar activity in alveolar macrophages"	2012	0	"San Francisco, California"	-122.429047	37.77986	0
"nrf2 deficiency exacerbates bronchopulmonary dysplasia phenotypes induced by hyperoxia in developing lung"	2009	0	"San Diego, California"	-117.1625	32.715	0
"clinical phenotypes and survival of idiopathic pulmonary fibrosis in one group of patients in brazil"	2011	1	"Denver, Colorado"	-104.989174	39.73715	1
"differentiation of omentum derived stem cells into ccsp lung epithelium like cells"	2011	1	"Denver, Colorado"	-104.989174	39.73715	1
"biomarkers of pulmonary hypertension volatile constituents of expired breath condensates as markers of disease severity progression and response to therapy using gas chromatography mass spectroscopy"	2010	0	"New Orleans, Louisiana"	-90.07775	29.9537	0
"serum ifn and tnf levels in sarcoidosis patients correlate with disease manifestations and differ significantly by ancestry"	2010	0	"New Orleans, Louisiana"	-90.07775	29.9537	0
"socioeconomic status and quantitatively derived hrct measurements of emphysema and airway wall thickness in copd and non copd subjects"	2010	0	"New Orleans, Louisiana"	-90.07775	29.9537	0
"localization and enumeration of human lung dendritic cells from asthmatic patients undergoing anti ige therapy a multispectral confocal microscopy study"	2009	0	"San Diego, California"	-117.1625	32.715	0
"evaluation of asymptomatic relatives of patients with familial interstitial pneumonia for evidence of subclinical fibrotic remodeling in the lung"	2010	1	"New Orleans, Louisiana"	-90.07775	29.9537	1
"bronchoalveolar lavage in the diagnosis of stannosis"	2010	0	"New Orleans, Louisiana"	-90.07775	29.9537	0
"oxidative stress regulates the production of functional coagulation factors by primary human lung epithelium"	2012	0	"San Francisco, California"	-122.429047	37.77986	0
"whole blood gene expression and serum biomarker profiling in a copd cohort identifies markers related to neutrophilic inflammation wound healing and altered b cell signaling"	2011	0	"Denver, Colorado"	-104.989174	39.73715	0
"investigation of the citrullination pathway in the pathogenesis of fibrotic lung disorders preliminary results"	2011	1	"Denver, Colorado"	-104.989174	39.73715	1
"ls sputum cytology using thinprep instead of autofluorescence bronchoscopy for evaluation of abnormal lesion in central airway in a high risk group useful"	2010	0	"New Orleans, Louisiana"	-90.07775	29.9537	0
"combined pulmonary fibrosis and emphysema cpfe with lung cancer in autopsied cases"	2011	0	"Denver, Colorado"	-104.989174	39.73715	0
"adiponectin modulates pulmonary vascular remodeling by inhibiting pulmonary artery smooth muscle cell proliferation"	2010	1	"New Orleans, Louisiana"	-90.07775	29.9537	1
"proteome analysis of bronchoalveolar lavage fluid in interstitial lung disease with systemic sclerosis"	2009	0	"San Diego, California"	-117.1625	32.715	0
"the use of cryopreserved viable lung tissue from patients to study drug therapies"	2012	0	"San Francisco, California"	-122.429047	37.77986	0
"elastin degradation products generated in large pulmonary arteries in the setting of pulmonary hypertension drive vascular inflammation"	2012	0	"San Francisco, California"	-122.429047	37.77986	0
"induction of goblet cell hyperplasia by chronic mechanical stress in well differentiated airway epithelial cellsin vitro"	2009	0	"San Diego, California"	-117.1625	32.715	0
"hif1 and the repair of injured airway microvasculature by recipient derived tie2 cells"	2010	0	"New Orleans, Louisiana"	-90.07775	29.9537	0
"endotoxin markers and eosinophils in bal of patients with interstitial lung diseases"	2012	0	"San Francisco, California"	-122.429047	37.77986	0
"adrenomedullin attenuates ventilator induced lung injury and related organ dysfunction in mice"	2009	0	"San Diego, California"	-117.1625	32.715	0
"patient responses to the diagnosis of a pulmonary nodule insight from focus groups"	2011	1	"Denver, Colorado"	-104.989174	39.73715	1
"increased fibronectin in an animal model of severe pulmonary arterial hypertension"	2010	0	"New Orleans, Louisiana"	-90.07775	29.9537	0
"convex probe ebus for diagnosing parenchymal lung lesions"	2010	0	"New Orleans, Louisiana"	-90.07775	29.9537	0
"sensitivity of limited section hrct to diagnose lymphangioleiomyomatosis lam in women with tuberous sclerosis complex"	2011	0	"Denver, Colorado"	-104.989174	39.73715	0
"use of biophotonic imaging to track transplanted murine mesenchymal stem cells after hyperoxic lung injury"	2010	0	"New Orleans, Louisiana"	-90.07775	29.9537	0
"longitudinal changes in pathological specimens obtained from patients with chronic fibrotic interstitial pneumonia"	2009	0	"San Diego, California"	-117.1625	32.715	0
"pulmonary renal syndrome with drug induced lupus vasculitis"	2012	0	"San Francisco, California"	-122.429047	37.77986	0
"differential expression of immunophilin fkbp51 in pulmonary endothelium"	2009	0	"San Diego, California"	-117.1625	32.715	0
"gene expression analysis of sputum cells identifies expected changes in gene profiles in eosinophilic vs non eosinophilic asthma"	2012	0	"San Francisco, California"	-122.429047	37.77986	0
"pleural mesothelial cells in the pathogenesis of idiopathic pulmonary fibrosis"	2012	0	"San Francisco, California"	-122.429047	37.77986	0
"cryotechnology based bronchial biopsies provide high efficiency in diagnosing lung cancer"	2010	0	"New Orleans, Louisiana"	-90.07775	29.9537	0
"wegener s granulomatosis presenting as diffuse alveolar hemorrhage case report and review of literature"	2010	0	"New Orleans, Louisiana"	-90.07775	29.9537	0
"a humanized mouse model replicates the pathologic cd4 t cell differentiation of patients with chronic immunologic lung diseases"	2011	1	"Denver, Colorado"	-104.989174	39.73715	1
"endobronchial fibroepithelial polyp"	2012	0	"San Francisco, California"	-122.429047	37.77986	0
"role of neutrophils and platelets in human pulmonary microvascular endothelial cell hpmvec injury"	2009	0	"San Diego, California"	-117.1625	32.715	0
"asthma associated to reversible and non reversible bronchial obstruction exhibit identical genetic signature an mrna microarray study on peripheral blood sample"	2012	0	"San Francisco, California"	-122.429047	37.77986	0
"association between the human surfactant protein a sp a gene pleomorphism and bronchial asthma"	2009	0	"San Diego, California"	-117.1625	32.715	0
"diffuse alveolar hemorrhage in patients with systemic lupus erythematosus"	2009	1	"San Diego, California"	-117.1625	32.715	1
"genetic and clinical characteristics of new york hispanics with cystic fibrosis"	2009	0	"San Diego, California"	-117.1625	32.715	0
"effects of different recruitment maneuvers on lung morpho function and alveolar stress"	2010	2	"New Orleans, Louisiana"	-90.07775	29.9537	2
"severe pulmonary parenchymal calcification in a relatively asymptomatic patient"	2010	0	"New Orleans, Louisiana"	-90.07775	29.9537	0
"decreased levels in elafin due to proteolytic cleavage may contribute to alveolar inflammation in the pulmonary compartment in patients with acute lung injury"	2011	0	"Denver, Colorado"	-104.989174	39.73715	0
"exercise testing predicts early postoperative complications and mortality risk in solid organ recipients"	2010	0	"New Orleans, Louisiana"	-90.07775	29.9537	0
"in vivo lung micromechanics in humans"	2012	0	"San Francisco, California"	-122.429047	37.77986	0
"discerning the anatomical structures of the lung in inbred mouse strains using micro ct and microscopy techniques"	2009	0	"San Diego, California"	-117.1625	32.715	0
"identification of a fingerprint of mediators associated with pulmonary dysfunction in the brown norway rat model of ovalbumin induced asthma"	2009	0	"San Diego, California"	-117.1625	32.715	0
"histological assessment of immune inflammatory cells in idiopathic pulmonary arterial hypertension"	2010	0	"New Orleans, Louisiana"	-90.07775	29.9537	0
"mk2 regulates fibroblast biology and pulmonary fibrosis"	2009	0	"San Diego, California"	-117.1625	32.715	0
"computer aided grading of lymphangioleiomyomatosis and pathological examination detect lung tissue abnormalities in areas adjacent to cysts that correlate with lung function"	2010	0	"New Orleans, Louisiana"	-90.07775	29.9537	0
"transplant of alveolar type ii cells restore pulmonary surfactant levels in lung fibrosis"	2010	0	"New Orleans, Louisiana"	-90.07775	29.9537	0
"a novel mouse model to study innate immunity and neutrophil extracellular traps nets in cystic fibrosis cf lung disease"	2012	0	"San Francisco, California"	-122.429047	37.77986	0
"interstitial lung disease dpld"	2012	0	"San Francisco, California"	-122.429047	37.77986	0
"pseudomembranous obstructive tracheobronchitis caused by methicillin resistant staphylococcus aureus in a patient with non small cell lung cancer"	2011	0	"Denver, Colorado"	-104.989174	39.73715	0
"rituximab and pulmonary alveolar proteinosis what have we learned so far"	2010	4	"New Orleans, Louisiana"	-90.07775	29.9537	4
"association of occupational dust exposure with myeloperoxidase anti neutrophil cytoplasmic antibody mpo anca positive interstitial pneumonia"	2011	0	"Denver, Colorado"	-104.989174	39.73715	0
"microthrombus formation continues in rat lungs for up to 24 hours following acute hemorrhage"	2009	0	"San Diego, California"	-117.1625	32.715	0
"interaction between elastase activity and mechanical forces in lung tissue strips"	2009	0	"San Diego, California"	-117.1625	32.715	0
"serotonylation of proteins in pulmonary artery smooth muscle cells"	2009	0	"San Diego, California"	-117.1625	32.715	0
"succesful ex vivo perfusion of porcine donor lungs injured by gastric aspiration provides an opportunity to study pretransplant reconditioning"	2010	0	"New Orleans, Louisiana"	-90.07775	29.9537	0
"conditional knock down of sod3 in smooth muscle cells augments chronic hypoxic pulmonary vascular remodeling and inflammation"	2012	1	"San Francisco, California"	-122.429047	37.77986	1
"predicting factors of relapse for chronic eosinophilic pneumonia hrct findings and clinical features"	2011	0	"Denver, Colorado"	-104.989174	39.73715	0
"progression and prognostic indicators of bronchial and alveolar disease in children with sickle cell disease"	2012	0	"San Francisco, California"	-122.429047	37.77986	0
"a nucleolar pattern ana in patients with idiopathic interstitial pneumonia suggests underlying connective tissue disease"	2009	0	"San Diego, California"	-117.1625	32.715	0
"defective formation of alveoli micro vessels and elastic fibers in lungs of mechanically ventilated elastin haploinsufficient eln neonatal mice"	2012	0	"San Francisco, California"	-122.429047	37.77986	0
"gene expression profiling of the nasal epithelium of mild and moderate severe asthmatics"	2011	0	"Denver, Colorado"	-104.989174	39.73715	0
"macrophage phenotypes during induction and resolution of acute lung injury"	2012	0	"San Francisco, California"	-122.429047	37.77986	0
"alk anaplastic large cell lymphoma presenting with hemoptysis and hypoxemic respiratory failure"	2012	0	"San Francisco, California"	-122.429047	37.77986	0
"2 adrenergic agonists worsen particulate matter induced lung inflammation and arterial thrombosis"	2012	0	"San Francisco, California"	-122.429047	37.77986	0
"multiple hepatic metastasis with elevated ca 19 9 levels and normal thoracic imaging where is the primary"	2011	0	"Denver, Colorado"	-104.989174	39.73715	0
"increasing matrix stiffness shifts normal human lung fibroblast secretions in favor of fibrosis"	2011	0	"Denver, Colorado"	-104.989174	39.73715	0
"development of a respiratory tract 3d glandular acinar in vitro model"	2010	0	"New Orleans, Louisiana"	-90.07775	29.9537	0
"systemic microvascular changes and lung function the mesa lung study"	2009	0	"San Diego, California"	-117.1625	32.715	0
"serum levels of kl 6 a biomarker for interstitial lung diseases in caucasian patients with idiopathic interstitial pneumonias"	2010	0	"New Orleans, Louisiana"	-90.07775	29.9537	0
"chitotriosidase contributes to the pathogenesis of bleomycin induced pulmonary fibrosis"	2011	0	"Denver, Colorado"	-104.989174	39.73715	0
"the utility of diagnostic procedures and prognosis in patients with proven invasive pulmonary aspergillosis"	2009	0	"San Diego, California"	-117.1625	32.715	0
"endocrine and inflammatory changes induced by intermittent hypoxia in awake healthy volunteers"	2011	0	"Denver, Colorado"	-104.989174	39.73715	0
"distinguishing uninfected from human rhinovirus infected bronchial epithelial cells using volatile organic compound analysis"	2012	0	"San Francisco, California"	-122.429047	37.77986	0
"functional beta1integrins protect against deformation induced lung cell death"	2009	0	"San Diego, California"	-117.1625	32.715	0
"mechanical properties of isolated lungs of rat with low pulmonary blood stream"	2009	0	"San Diego, California"	-117.1625	32.715	0
"interpretation of exhaled alveolar nitric oxide levels for radiation pneumonitis"	2012	0	"San Francisco, California"	-122.429047	37.77986	0
"bone health in patients with interstitial lung disease"	2011	0	"Denver, Colorado"	-104.989174	39.73715	0
"a novel acute phase null mouse reveals a critical role for liver products during pneumonia"	2010	0	"New Orleans, Louisiana"	-90.07775	29.9537	0
"nitric oxide storage lesion in stored blood"	2010	0	"New Orleans, Louisiana"	-90.07775	29.9537	0
"a 19 year old immune competent male with a cavitary lung lesion"	2010	0	"New Orleans, Louisiana"	-90.07775	29.9537	0
"functional and phenotypical characteristics of alveolar fibroblasts isolated during acute lung injury"	2009	0	"San Diego, California"	-117.1625	32.715	0
"physiologic predictors of emphysema vs airway dominant disease in a tobacco exposed cohort"	2012	0	"San Francisco, California"	-122.429047	37.77986	0
"extracellular matrix evaluation in infectious and non infectious granulomatous lung diseases"	2009	0	"San Diego, California"	-117.1625	32.715	0
"distant effects of nitric oxide inhalation in lavage induced lung injury in anaesthetised pigs"	2012	0	"San Francisco, California"	-122.429047	37.77986	0
"blockade of par1 attenuates lung inflammation in lps induced acute lung injury"	2010	0	"New Orleans, Louisiana"	-90.07775	29.9537	0
"tumor necrosis factor alpha haplotype 863c a is associated with chronic obstructive pulmonary disease risk and systemic inflammation a case control study from india"	2012	0	"San Francisco, California"	-122.429047	37.77986	0
"interspeech pathology challenge investigations into speaker and sentence specific effects"	2012	4	"Portland, Oregon"	-122.675629	45.51179	4
"vitamin d and non skeletal health"	2016	0	"Rome, Italy"	12.49564	41.90322	0
"automatic modeling and classification of vitreomacular traction pathology stages"	2016	1	"Phoenix Convention Centre, Phoenix, Ariz"	-112.072754	33.44277	1
"detection of follicles in ultrasound videos of bovine ovaries"	2016	1	"Lima, Peru"	-77.02679	-12.05613	1
"architectural patterns for differential diagnosis of proliferative breast lesions from histopathological images"	2017	3	"Melbourne, Australia"	144.967148	-37.81753	3
"studying the potential of multi target classification to characterize combinations of classes with skewed distribution"	2017	2	"Thessaloniki, Greece"	22.93707	40.63955	2
"impact of electronic healthcare associated infection surveillance software on infection prevention resources a systematic review of the literature"	2017	23	"Vienna, Austria"	16.3688	48.20254	23
"a three dimensional cell culture device for simulation of hepatic hypertension"	2017	0	"Jeju Island, Korea"	126.533	33.367	0
"improving feature extraction for pathology reports with precise negation scope detection"	2018	1	"Santa Fe, New Mexico, USA"	-105.937958	35.69168	1
"loss of galactosyltransferase ii encoded by b3galt6 causes skeletal abnormalities in a zebrafish model for spondylodysplastic ehlers danlos syndrome the b3galt6 type"	2018	0	"Bangalore,in"	77.58728	12.96697	0
"intravital fluorescence imaging of reactive oxygen species i murine carotid atherosclerotic plague"	2017	0	"Jeju Island, Korea"	126.533	33.367	0
"in vivo multi harmonic generation biopsy of human skin and mucosa"	2012	0	"San Jose, CA, USA"	-121.9	37.3333321	0
